Task ID,Supplier ID,Cost
T1,S18,0.3556524664902972
T1,S56,0.3563492898371531
T1,S47,0.3576352325709233
T1,S27,0.3671822932280378
T1,S34,0.3673980233445724
T1,S51,0.3696378955704298
T1,S15,0.3715709329487683
T1,S10,0.3723988815688455
T1,S46,0.3724000110928648
T1,S60,0.3746940199664368
T10,S56,0.3170256303848849
T10,S46,0.3198408054846098
T10,S47,0.3280639234608589
T10,S51,0.3289304572483976
T10,S15,0.3294870119143479
T10,S6,0.329679930694557
T10,S12,0.3366043699418144
T10,S60,0.3372052550124997
T10,S57,0.3418046477869964
T10,S40,0.3426221809850642
T100,S57,0.4111297243521759
T100,S15,0.4140868839811111
T100,S40,0.416388638836192
T100,S54,0.4188792020044668
T100,S36,0.4190781814847157
T100,S13,0.4214076906538606
T100,S18,0.4216147363314302
T100,S10,0.4216736313336547
T100,S45,0.4262823173099543
T100,S47,0.426495753653847
T101,S36,0.408853448522212
T101,S47,0.4102354009931711
T101,S33,0.4229171120371987
T101,S57,0.4232114766867049
T101,S32,0.4255377242203703
T101,S64,0.4263409649873039
T101,S53,0.4300921846770165
T101,S61,0.431110185797521
T101,S7,0.4318088054490805
T101,S34,0.4334077901199621
T102,S56,0.3891697375825071
T102,S23,0.3998740336589821
T102,S15,0.4015411848847869
T102,S18,0.4037736176304044
T102,S28,0.4066350320771301
T102,S24,0.4077573908569122
T102,S50,0.4077671079666985
T102,S36,0.4119108433044645
T102,S11,0.4124297134618752
T102,S47,0.4130735034081131
T103,S53,0.4001682711817015
T103,S16,0.4092739505667174
T103,S50,0.4184488724386845
T103,S33,0.4188844362306574
T103,S47,0.4246559890476408
T103,S60,0.4341669605048812
T103,S51,0.4385715495740451
T103,S9,0.4397305111234794
T103,S14,0.440558606829087
T103,S31,0.4407946761973957
T104,S21,0.427904352986019
T104,S8,0.4312493284392737
T104,S30,0.4372427600005043
T104,S42,0.4379605988862254
T104,S9,0.4417509915161278
T104,S56,0.4418277213108187
T104,S50,0.4418374954309985
T104,S27,0.4426477918814803
T104,S62,0.4429305713601081
T104,S28,0.4437119339182696
T105,S33,0.5579444971448162
T105,S64,0.5597924293904345
T105,S46,0.5789021630262603
T105,S61,0.5973429495705656
T105,S18,0.5987336652297398
T105,S20,0.6010661023861003
T105,S40,0.6070610258670731
T105,S55,0.6071056430838981
T105,S25,0.6120876708828566
T105,S43,0.6123052968840648
T106,S33,0.4309450225397305
T106,S27,0.4357280860353987
T106,S1,0.4396824377680198
T106,S34,0.4411328759778812
T106,S35,0.4427410053256707
T106,S24,0.4427763080760272
T106,S7,0.4430490555794208
T106,S4,0.4431503603402527
T106,S39,0.443196800987758
T106,S36,0.4432599452936239
T107,S58,0.4048479976892055
T107,S11,0.4051656613404432
T107,S28,0.4070557932082738
T107,S12,0.4071898253224295
T107,S33,0.4072845604124891
T107,S48,0.4083683124402724
T107,S34,0.4100234389531008
T107,S59,0.4107157466354704
T107,S9,0.4120413888317253
T107,S23,0.4129484073883651
T108,S9,0.3759007623134639
T108,S50,0.3784061594787024
T108,S30,0.3835323486493113
T108,S57,0.3852096563477992
T108,S27,0.3893731826701203
T108,S23,0.3905773356171079
T108,S41,0.3910869864366499
T108,S34,0.3941396323290941
T108,S10,0.39474000053444
T108,S35,0.3954784235419125
T109,S64,0.3934631450115181
T109,S28,0.3940237226464594
T109,S41,0.3991967241029369
T109,S30,0.3996613925861608
T109,S43,0.400156862992972
T109,S15,0.401280006127434
T109,S22,0.4040211187129572
T109,S59,0.40420639391619
T109,S60,0.4049064866828094
T109,S42,0.4049659475988312
T110,S27,0.4099635769107032
T110,S11,0.4111057734985588
T110,S35,0.4123880034869763
T110,S13,0.4126041624423774
T110,S48,0.4127285437286354
T110,S51,0.4141378641868308
T110,S8,0.414477015830622
T110,S20,0.4163303926298452
T110,S46,0.4164454656845101
T110,S22,0.417601857234973
T111,S8,0.3806891016375657
T111,S57,0.3810886770923823
T111,S13,0.3819636088475195
T111,S64,0.3852697321949179
T111,S59,0.3874179885082962
T111,S10,0.3880071536304199
T111,S11,0.3911539568255723
T111,S12,0.3924232602432659
T111,S30,0.3940243470401914
T111,S14,0.394955256070747
T112,S47,0.3588357311021956
T112,S12,0.362389066988408
T112,S8,0.3654593063831229
T112,S27,0.3657126135643382
T112,S64,0.3657367515998238
T112,S49,0.3658041765833449
T112,S33,0.3667747515848791
T112,S13,0.3682644719864982
T112,S46,0.3697333648951968
T112,S6,0.3706902796757425
T113,S24,0.3678208454790929
T113,S34,0.3699110734978313
T113,S53,0.382566252998583
T113,S11,0.3853059715937904
